"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"1",0,14,18,9,11,7,8,4,12,3,13,15,10,17,6,2,1,5,19,16
"2",1,6,17,19,10,2,5,15,16,3,4,7,9,11,0,14,18,8,12,13
"3",2,5,17,6,19,1,15,10,16,3,4,7,9,11,14,0,18,8,12,13
"4",3,15,10,4,17,6,2,7,5,1,19,9,11,16,14,0,18,8,12,13
"5",4,7,11,3,9,0,14,18,15,10,17,6,2,1,5,8,19,12,16,13
"6",5,2,19,6,17,15,1,16,10,3,4,7,9,11,14,0,18,8,12,13
"7",6,17,2,19,1,5,10,15,16,3,4,7,9,11,0,14,18,8,12,13
"8",7,4,9,0,18,14,3,11,15,10,8,12,17,6,1,2,5,19,16,13
"9",8,12,18,14,0,9,13,11,7,4,3,15,10,17,6,2,1,5,19,16
"10",9,7,14,18,0,4,11,3,8,12,15,10,17,6,2,1,5,19,13,16
"11",10,17,1,6,15,2,5,19,3,16,4,7,9,11,14,0,18,8,12,13
"12",11,14,0,4,18,7,9,3,12,8,15,10,13,17,6,2,5,1,19,16
"13",12,8,18,0,14,13,9,11,7,4,3,15,10,17,6,2,1,5,19,16
"14",13,12,8,18,0,14,11,9,7,4,3,15,10,17,6,2,1,5,19,16
"15",14,0,18,9,11,7,8,4,12,3,13,15,10,17,6,2,1,5,19,16
"16",15,17,2,6,10,5,3,1,19,16,4,7,9,11,14,0,18,8,12,13
"17",16,19,5,2,6,17,1,15,10,3,4,7,9,11,14,0,18,8,12,13
"18",17,6,2,5,1,19,15,10,16,3,4,7,9,11,14,0,18,8,12,13
"19",18,0,14,9,11,7,8,12,4,3,13,15,10,17,6,2,1,5,19,16
"20",19,6,5,2,17,1,16,10,15,3,4,7,9,11,14,0,18,8,12,13
